candidate,full_logloss,last_logloss,fold_std,tail3_worst,test_abs_delta_mean_vs_anchor,fold0_logloss,fold1_logloss,fold2_logloss,fold3_logloss,fold4_logloss,mean_abs_diff_to_submitted,flat_corr_to_submitted
core_plus_s1_q2q3,0.59349550571641,0.5791128759726945,0.014610439886113257,0.6205258129788104,0.004007698179369826,0.5928642360455447,0.582139775076284,0.6205258129788104,0.592805380398918,0.5791128759726945,0.019924461069108425,0.9849925604691443
core_plus_s1_q2tiny_q3,0.5935870523177786,0.5798230618919676,0.014681412085441072,0.6213160958404993,0.0037049089699908422,0.5922304465223768,0.5829069178067726,0.6213160958404993,0.5917249989909568,0.5798230618919676,0.019747401815578044,0.9850442164905674
core_plus_q2q3,0.5939966290496284,0.5817658818544384,0.014118586106893666,0.6205258129788104,0.0037870503483843957,0.5928642360455447,0.582139775076284,0.6205258129788104,0.592805380398918,0.5817658818544384,0.01987745465699398,0.9851713316421306
core_plus_s1,0.5931386900267489,0.5820152153978544,0.014136108778326844,0.6201983006230591,0.003484682355814076,0.5908545835107567,0.5815277314744309,0.6201983006230591,0.5913566785790664,0.5820152153978544,0.019566870369465514,0.9852444371865708
core_plus_q3,0.5940401221833624,0.5829149154328265,0.014386207725547903,0.6217512916091287,0.003405262191180085,0.5915259305063978,0.5825740132179632,0.6217512916091287,0.5917249989909568,0.5829149154328265,0.019661091623702498,0.9852483993720728
core_q1down_s2wide_s4tight,0.5939857744782511,0.5832242923384848,0.014312117273259747,0.621400169586608,0.004916631104628405,0.5919368679287536,0.5818201230615966,0.621400169586608,0.5918317042965203,0.5832242923384848,0.01970282904482193,0.9846752252139995
core_plus_q2,0.593596320226233,0.5835191877012103,0.013454654869434424,0.6189728219927408,0.003645822682032956,0.5921928890499039,0.5810934933327517,0.6189728219927408,0.5924370599870276,0.5835191877012103,0.019736226990642536,0.9853411820703935
core_q1down_s2mid_s4tight,0.593643832677297,0.5835539703651117,0.01385017856387828,0.620187789839124,0.003702189244117808,0.5912165819182619,0.5816460943241258,0.620187789839124,0.5919312291447901,0.5835539703651117,0.019795433480728465,0.9846800213768526
core_plus_q2tiny,0.5936878668276017,0.5842293736204835,0.013558826546334106,0.6197631048544298,0.003343033472653973,0.5915590995267358,0.5818606360632403,0.6197631048544298,0.5913566785790664,0.5842293736204835,0.01955916773711215,0.9853916669878193
core_q1down_s2tight_s4mid,0.5934100694323694,0.5844974172948362,0.013788902960655934,0.6199025754227334,0.003480628993262983,0.5905584713129982,0.5808296554776621,0.6199025754227334,0.5916733045505769,0.5844974172948362,0.019383076288925605,0.9855525092300662
core_q1down_s2tight_s4tight,0.5936398133599672,0.5846682212795985,0.01375123563465615,0.6201983006230591,0.003264034524828646,0.5908545835107567,0.5815277314744309,0.6201983006230591,0.5913566785790664,0.5846682212795985,0.019519863957351058,0.9854196765856555
core_q1up_s2tight_s4tight,0.5943582413979948,0.584922358791834,0.013897920282230039,0.6208947184654343,0.0030338612879016683,0.5914227210578711,0.5815945172157708,0.6208947184654343,0.5933386081285782,0.584922358791834,0.019105685129343117,0.9867693165927447
