target,source,full_logloss,last_logloss,pseudo_public_logloss,selector_score,test_abs_delta_mean,candidate
Q1,anchor,0.5904248838716277,0.6185058715032128,0.5976545717384166,0.5976545717384166,0.0,pseudo_target_tight
Q2,anchor,0.6928798566239225,0.6380843693004014,0.6506293014214858,0.6506293014214858,0.0,pseudo_target_tight
Q3,anchor,0.6626805461282007,0.6346920082407534,0.6385580160551905,0.6385580160551905,0.0,pseudo_target_tight
S1,anchor,0.492352153213852,0.4495444660169762,0.48080803568949,0.48080803568949,0.0,pseudo_target_tight
S2,direction_gated_ablation_20260622/core_q1down_s2tight_s4tight,0.5554486997313678,0.5888325174670911,0.5576409756274361,0.5579170131005883,0.009201249105072414,pseudo_target_tight
S3,anchor,0.5415513745216881,0.6006790249905736,0.5556745769394565,0.5556745769394565,0.0,pseudo_target_tight
S4,pattern_safe_candidates_20260622/q1_s2down25_s4up25,0.6286490314003638,0.5858485102331781,0.6389583748573835,0.6390184902374795,0.002003846003198871,pseudo_target_tight
Q1,anchor,0.5904248838716277,0.6185058715032128,0.5976545717384166,0.5976545717384166,0.0,pseudo_target_balanced
Q2,anchor,0.6928798566239225,0.6380843693004014,0.6506293014214858,0.6506293014214858,0.0,pseudo_target_balanced
Q3,anchor,0.6626805461282007,0.6346920082407534,0.6385580160551905,0.6385580160551905,0.0,pseudo_target_balanced
S1,anchor,0.492352153213852,0.4495444660169762,0.48080803568949,0.48080803568949,0.0,pseudo_target_balanced
S2,direction_gated_ablation_20260622/core_q1down_s2tight_s4tight,0.5554486997313678,0.5888325174670911,0.5576409756274361,0.5578250006095375,0.009201249105072414,pseudo_target_balanced
S3,anchor,0.5415513745216881,0.6006790249905736,0.5556745769394565,0.5556745769394565,0.0,pseudo_target_balanced
S4,pattern_safe_candidates_20260622/q1_s2down25_s4up25,0.6286490314003638,0.5858485102331781,0.6389583748573835,0.6389984517774475,0.002003846003198871,pseudo_target_balanced
Q1,anchor,0.5904248838716277,0.6185058715032128,0.5976545717384166,0.5976545717384166,0.0,pseudo_target_public_heavy
Q2,anchor,0.6928798566239225,0.6380843693004014,0.6506293014214858,0.6506293014214858,0.0,pseudo_target_public_heavy
Q3,anchor,0.6626805461282007,0.6346920082407534,0.6385580160551905,0.6385580160551905,0.0,pseudo_target_public_heavy
S1,anchor,0.492352153213852,0.4495444660169762,0.48080803568949,0.48080803568949,0.0,pseudo_target_public_heavy
S2,direction_gated_ablation_20260622/core_q1down_s2tight_s4tight,0.5554486997313678,0.5888325174670911,0.5576409756274361,0.557751390616697,0.009201249105072414,pseudo_target_public_heavy
S3,anchor,0.5415513745216881,0.6006790249905736,0.5556745769394565,0.5556745769394565,0.0,pseudo_target_public_heavy
S4,pattern_safe_candidates_20260622/q1_s2down25_s4up25,0.6286490314003638,0.5858485102331781,0.6389583748573835,0.6389824210094219,0.002003846003198871,pseudo_target_public_heavy
Q1,anchor,0.5904248838716277,0.6185058715032128,0.5976545717384166,0.5976545717384166,0.0,pseudo_target_public_max
Q2,anchor,0.6928798566239225,0.6380843693004014,0.6506293014214858,0.6506293014214858,0.0,pseudo_target_public_max
Q3,anchor,0.6626805461282007,0.6346920082407534,0.6385580160551905,0.6385580160551905,0.0,pseudo_target_public_max
S1,anchor,0.492352153213852,0.4495444660169762,0.48080803568949,0.48080803568949,0.0,pseudo_target_public_max
S2,direction_gated_ablation_20260622/core_q1down_s2tight_s4tight,0.5554486997313678,0.5888325174670911,0.5576409756274361,0.5576961831220665,0.009201249105072414,pseudo_target_public_max
S3,anchor,0.5415513745216881,0.6006790249905736,0.5556745769394565,0.5556745769394565,0.0,pseudo_target_public_max
S4,pattern_safe_candidates_20260622/q1_s2down25_s4up25,0.6286490314003638,0.5858485102331781,0.6389583748573835,0.6389703979334027,0.002003846003198871,pseudo_target_public_max
