target,config_key,model,param_profile,weight_profile,top_k,shrink_mode,shrink,full_logloss,last_logloss,full_delta_vs_anchor,last_delta_vs_anchor,rank_score,raw_active_full_logloss,raw_active_last_logloss,fold0_logloss,fold1_logloss,fold2_logloss,fold3_logloss,fold4_logloss,active_fold0_raw_logloss
Q1,lgbm|smooth|target_auto|top20|hist1|bankbins_te,lgbm,smooth,target_auto,20,logit,0.0,0.5904248838716277,0.6185058715032128,0.0,0.0,0.6229090295817957,0.6702266253422237,,0.542826510063604,0.6312121035496189,0.5935222474440965,0.5701035275859473,0.6185058715032128,0.6702266253422237
Q1,lgbm|smooth|target_auto|top20|hist1|bankbins_te,lgbm,smooth,target_auto,20,logit,0.25,0.5918197376913881,0.6185058715032128,0.0013948538197603444,0.0,0.624094655328592,0.6702266253422237,,0.5494337123677325,0.6312121035496189,0.5935222474440965,0.5701035275859473,0.6185058715032128,0.6702266253422237
Q2,lgbm|smooth|target_auto|top20|hist1|bankbins_te,lgbm,smooth,target_auto,20,logit,0.0,0.6928798566239225,0.6380843693004012,0.0,-1.1102230246251565e-16,0.6544467896573409,0.695503949874328,,0.711513567173958,0.6320549532598854,0.7975184800361131,0.6842455848228304,0.6380843693004012,0.695503949874328
Q2,lgbm|smooth|target_auto|top20|hist1|bankbins_te,lgbm,smooth,target_auto,20,logit,0.25,0.6916054428870165,0.6380843693004012,-0.001274413736905955,-1.1102230246251565e-16,0.6544467896573409,0.695503949874328,,0.7054768705254557,0.6320549532598854,0.7975184800361131,0.6842455848228304,0.6380843693004012,0.695503949874328
Q3,lgbm|smooth|target_auto|top20|hist1|bankbins_te,lgbm,smooth,target_auto,20,logit,0.0,0.6626805461282007,0.6346920082407534,0.0,0.0,0.6432526331559468,0.6940348019772421,,0.6945061214538464,0.6727576578357087,0.6955517920765923,0.613734493992541,0.6346920082407534,0.6940348019772421
Q3,lgbm|smooth|target_auto|top20|hist1|bankbins_te,lgbm,smooth,target_auto,20,logit,0.25,0.6615468262875102,0.6346920082407534,-0.0011337198406905502,0.0,0.6432526331559468,0.6940348019772421,,0.6891358695768905,0.6727576578357087,0.6955517920765923,0.613734493992541,0.6346920082407534,0.6940348019772421
S1,lgbm|smooth|target_auto|top20|hist1|bankbins_te,lgbm,smooth,target_auto,20,logit,0.0,0.492352153213852,0.4495444660169763,0.0,1.1102230246251565e-16,0.4545098317401707,0.628619714722672,,0.470478165353136,0.486229139083562,0.5290528261383755,0.5258050908732016,0.4495444660169763,0.628619714722672
S1,lgbm|smooth|target_auto|top20|hist1|bankbins_te,lgbm,smooth,target_auto,20,logit,0.25,0.4930202628746233,0.4495444660169763,0.0006681096607712989,1.1102230246251565e-16,0.4550777249518263,0.628619714722672,,0.47364289532521026,0.486229139083562,0.5290528261383755,0.5258050908732016,0.4495444660169763,0.628619714722672
S2,lgbm|smooth|target_auto|top20|hist1|bankbins_te,lgbm,smooth,target_auto,20,logit,0.0,0.5601204056897082,0.6228153228954334,0.0,0.0,0.632413449757989,0.7305999641197917,,0.568585442652781,0.5261479218628835,0.5251425064575487,0.5605193582907247,0.6228153228954334,0.7305999641197917
S2,lgbm|smooth|target_auto|top20|hist1|bankbins_te,lgbm,smooth,target_auto,20,logit,0.25,0.5610901397428711,0.6228153228954334,0.0009697340531629184,0.0,0.6332377237031774,0.7305999641197917,,0.5731789197467106,0.5261479218628835,0.5251425064575487,0.5605193582907247,0.6228153228954334,0.7305999641197917
S3,lgbm|smooth|target_auto|top20|hist1|bankbins_te,lgbm,smooth,target_auto,20,logit,0.0,0.5415513745216881,0.6006790249905735,0.0,-1.1102230246251565e-16,0.6080569767430271,0.6246664167647145,,0.5039339129482665,0.5311459193317364,0.5670960119251663,0.5112961755150871,0.6006790249905735,0.6246664167647145
S3,lgbm|smooth|target_auto|top20|hist1|bankbins_te,lgbm,smooth,target_auto,20,logit,0.25,0.5457337273985372,0.6006790249905735,0.004182352876849094,-1.1102230246251565e-16,0.6116119766883488,0.6246664167647145,,0.5237450581543941,0.5311459193317364,0.5670960119251663,0.5112961755150871,0.6006790249905735,0.6246664167647145
S4,lgbm|smooth|target_auto|top20|hist1|bankbins_te,lgbm,smooth,target_auto,20,logit,0.25,0.630430922919032,0.5886543846409902,-0.00036811468559294624,0.0,0.5936162949089975,0.6893247358067809,,0.6550701589288589,0.5959304507305941,0.649066667040829,0.6602097780743036,0.5886543846409902,0.6893247358067809
S4,lgbm|smooth|target_auto|top20|hist1|bankbins_te,lgbm,smooth,target_auto,20,logit,0.0,0.6307990376046251,0.5886543846409902,1.1102230246251565e-16,0.0,0.5936162949089976,0.6893247358067809,,0.6568138600711415,0.5959304507305941,0.649066667040829,0.6602097780743036,0.5886543846409902,0.6893247358067809
